Cmdline: /system/bin/simpleperf record -f 1000 -g -p 17534 --duration 10
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 4961
Event count: 11049081886

Overhead  Command          Pid    Tid    Shared Object                                                                  Symbol
0.15%     Debugger         17534  17534  /data/local/tmp/Debugger                                                       DriverManager::read(unsigned long, void*, unsigned long)
0.15%     binder:17534_6   17534  18147  [kernel.kallsyms]                                                              _raw_spin_unlock_irqrestore
0.15%     mali-event-hand  17534  17539  /vendor/lib64/egl/mt6895/libGLES_mali.so                                       libGLES_mali.so[+16ad168]
0.15%     Debugger         17534  17534  [kernel.kallsyms]                                                              mmput
0.14%     mali-event-hand  17534  17539  [kernel.kallsyms]                                                              do_sys_poll
0.13%     Debugger         17534  17534  [kernel.kallsyms]                                                              get_pid_task
0.13%     Debugger         17534  17534  /apex/com.android.runtime/lib64/bionic/libc.so                                 @plt
0.13%     Debugger         17534  17534  [kernel.kallsyms]                                                              memblock_is_map_memory
0.13%     Debugger         17534  17543  [kernel.kallsyms]                                                              evdev_poll.89e0a6e0c97a8726ccd017a6d47394e5
0.12%     Debugger         17534  17534  /vendor/lib64/egl/mt6895/libGLES_mali.so                                       libGLES_mali.so[+78ab28]
0.12%     Debugger         17534  17534  [kernel.kallsyms]                                                              _raw_spin_unlock
0.12%     Debugger         17534  17534  /data/local/tmp/Debugger                                                       @plt
0.12%     Debugger         17534  17534  /system/lib64/libbinder.so                                                     android::Parcel::flattenBinder(android::sp<android::IBinder> const&)
0.12%     Debugger         17534  17534  /apex/com.android.runtime/lib64/bionic/libc.so                                 __memcpy_aarch64_simd
0.12%     Debugger         17534  17534  [kernel.kallsyms]                                                              syscall_trace_exit
